MS Number,CVE Number
MS:MS00-001, CVE-2000-0053
MS:MS00-002, CVE-2000-0088
MS:MS00-003, CVE-2000-0070
MS:MS00-004, CVE-2000-0089
MS:MS00-005, CVE-2000-0073
MS:MS00-006, CVE-2000-0097 CVE-2000-0098 CVE-2000-0302
MS:MS00-007, CVE-2000-0121
MS:MS00-008, CVE-1999-1084
MS:MS00-009, CVE-2000-0156
MS:MS00-010, CVE-2000-0161
MS:MS00-011, CVE-2000-0162
MS:MS00-012, CVE-2000-0100
MS:MS00-013, CVE-2000-0211
MS:MS00-014, CVE-2000-0202
MS:MS00-015, CVE-2000-0200
MS:MS00-016, CVE-2000-0228
MS:MS00-017, CVE-2000-0168
MS:MS00-018, CVE-2000-0226
MS:MS00-019, CVE-2000-0246
MS:MS00-020, CVE-2000-0475
MS:MS00-021, CVE-2000-0232
MS:MS00-022, CVE-2000-0277
MS:MS00-023, CVE-2000-0258
MS:MS00-024, CVE-2000-0259
MS:MS00-025, CVE-2000-0260
MS:MS00-026, CVE-2000-0311
MS:MS00-027, CVE-2000-0331
MS:MS00-028, CVE-2000-0256
MS:MS00-029, CVE-2000-0305
MS:MS00-030, CVE-2000-0408
MS:MS00-031, CVE-2000-0304 CVE-2000-0457
MS:MS00-032, CVE-2000-0487
MS:MS00-033, CVE-2000-0439 CVE-2000-0464 CVE-2000-0465
MS:MS00-034, CVE-2000-0419
MS:MS00-035, CVE-2000-0402
MS:MS00-036, CVE-2000-0403 CVE-2000-0404
MS:MS00-038, CVE-2000-0495
MS:MS00-039, CVE-2000-0518 CVE-2000-0519
MS:MS00-040, CVE-2000-0377
MS:MS00-041, CVE-2000-0485 CVE-2000-0654
MS:MS00-043, CVE-2000-0567
MS:MS00-044, CVE-2000-0630 CVE-2000-0631
MS:MS00-045, CVE-2000-0653
MS:MS00-046, CVE-2000-0621
MS:MS00-047, CVE-2000-0673
MS:MS00-048, CVE-2000-0603
MS:MS00-049, CVE-2000-0596 CVE-2000-0597
MS:MS00-051, CVE-2000-0637
MS:MS00-052, CVE-2000-0663
MS:MS00-053, CVE-2000-0737
MS:MS00-054, CVE-2000-0742
MS:MS00-055, CVE-2000-0767 CVE-2000-0768
MS:MS00-056, CVE-2000-0765
MS:MS00-057, CVE-2000-0770
MS:MS00-058, CVE-2000-0778
MS:MS00-060, CVE-2000-0746 CVE-2000-1104
MS:MS00-061, CVE-2000-0777
MS:MS00-062, CVE-2000-0771
MS:MS00-063, CVE-2000-0858
MS:MS00-064, CVE-2000-0849
MS:MS00-065, CVE-2000-0851
MS:MS00-067, CVE-2000-0834
MS:MS00-068, CVE-2000-0929
MS:MS00-069, CVE-2000-0933
MS:MS00-071, CVE-2000-0788
MS:MS00-072, CVE-2000-0979
MS:MS00-073, CVE-2000-0980
MS:MS00-074, CVE-2000-0830
MS:MS00-075, CVE-2000-1061
MS:MS00-076, CVE-2000-0982
MS:MS00-077, CVE-2000-0983 CVE-2001-0503
MS:MS00-078, CVE-2000-0884
MS:MS00-079, CVE-2000-0991
MS:MS00-080, CVE-2000-0970
MS:MS00-082, CVE-2000-1006
MS:MS00-083, CVE-2000-0817 CVE-2000-0885
MS:MS00-084, CVE-2000-0942
MS:MS00-085, CVE-2000-1034
MS:MS00-086, CVE-2000-0886
MS:MS00-087, CVE-2000-1149
MS:MS00-088, CVE-2000-1139
MS:MS00-089, CVE-2000-1217
MS:MS00-090, CVE-2000-1112 CVE-2000-1113
MS:MS00-091, CVE-2000-1039
MS:MS00-092, CVE-2000-1081 CVE-2000-1082 CVE-2000-1083 CVE-2000-1084 CVE-2000-1085 CVE-2000-1086 CVE-2000-1087 CVE-2000-1088
MS:MS00-093, CVE-2001-0089 CVE-2001-0090 CVE-2001-0091 CVE-2001-0092
MS:MS00-094, CVE-2000-1089
MS:MS00-095, CVE-2001-0045 CVE-2001-0046 CVE-2001-0047
MS:MS00-097, CVE-2001-0083
MS:MS00-099, CVE-2001-0048
MS:MS00-100, CVE-2001-0096
MS:MS01-001, CVE-2001-0003
MS:MS01-002, CVE-2001-0005
MS:MS01-003, CVE-2001-0006
MS:MS01-004, CVE-2001-0004
MS:MS01-006, CVE-2001-0014
MS:MS01-007, CVE-2001-0015
MS:MS01-008, CVE-2001-0016
MS:MS01-009, CVE-2001-0017
MS:MS01-010, CVE-2001-0137
MS:MS01-011, CVE-2001-0018
MS:MS01-012, CVE-2001-0145
MS:MS01-013, CVE-2001-0147
MS:MS01-014, CVE-2001-0146
MS:MS01-015, CVE-2001-0002 CVE-2001-0148 CVE-2001-0149 CVE-2001-0150
MS:MS01-016, CVE-2001-0151
MS:MS01-018, CVE-2001-0153
MS:MS01-019, CVE-2001-0152
MS:MS01-020, CVE-2001-0154
MS:MS01-021, CVE-2001-0239
MS:MS01-022, CVE-2001-0238
MS:MS01-023, CVE-2001-0241
MS:MS01-024, CVE-2001-0237
MS:MS01-025, CVE-2001-0244 CVE-2001-0245
MS:MS01-026, CVE-2001-0333 CVE-2001-0334 CVE-2001-0335 CVE-2001-0336 CVE-2001-0337
MS:MS01-027, CVE-2001-0246 CVE-2001-0332 CVE-2001-0338 CVE-2001-0339
MS:MS01-028, CVE-2001-0240
MS:MS01-029, CVE-2001-0242 CVE-2001-0243
MS:MS01-030, CVE-2001-0340
MS:MS01-031, CVE-2001-0345 CVE-2001-0346 CVE-2001-0347 CVE-2001-0348 CVE-2001-0349 CVE-2001-0350 CVE-2001-0351
MS:MS01-032, CVE-2001-0344
MS:MS01-033, CVE-2001-0500
MS:MS01-034, CVE-2001-0501
MS:MS01-035, CVE-2001-0341
MS:MS01-036, CVE-2001-0502
MS:MS01-037, CVE-2001-0504
MS:MS01-038, CVE-2001-0538
MS:MS01-039, CVE-2001-0505
MS:MS01-040, CVE-2001-0540
MS:MS01-041, CVE-2001-0509
MS:MS01-042, CVE-2001-0541
MS:MS01-043, CVE-2001-0543
MS:MS01-044, CVE-2001-0506 CVE-2001-0507 CVE-2001-0508 CVE-2001-0544 CVE-2001-0545
MS:MS01-045, CVE-2001-0546 CVE-2001-0547 CVE-2001-0658
MS:MS01-046, CVE-2001-0659
MS:MS01-047, CVE-2001-0660
MS:MS01-048, CVE-2001-0662
MS:MS01-049, CVE-2001-0666
MS:MS01-050, CVE-2001-0718
MS:MS01-051, CVE-2001-0664 CVE-2001-0665 CVE-2001-0667
MS:MS01-052, CVE-2001-0663
MS:MS01-053, CVE-2001-0720
MS:MS01-054, CVE-2001-0721
MS:MS01-055, CVE-2001-0722 CVE-2001-0723 CVE-2001-0724
MS:MS01-056, CVE-2001-0719
MS:MS01-057, CVE-2001-0726
MS:MS01-058, CVE-2001-0727 CVE-2001-0874 CVE-2001-0875
MS:MS01-059, CVE-2001-0876 CVE-2001-0877
MS:MS01-060, CVE-2001-0542 CVE-2001-0879
MS:MS02-001, CVE-2002-0018
MS:MS02-002, CVE-2002-0021
MS:MS02-003, CVE-2002-0049
MS:MS02-004, CVE-2002-0020
MS:MS02-005, CVE-2002-0022 CVE-2002-0023 CVE-2002-0024 CVE-2002-0025 CVE-2002-0026 CVE-2002-0027
MS:MS02-006, CVE-2002-0012 CVE-2002-0013 CVE-2002-0053
MS:MS02-007, CVE-2002-0056
MS:MS02-008, CVE-2002-0057
MS:MS02-009, CVE-2002-0052
MS:MS02-010, CVE-2002-0050
MS:MS02-011, CVE-2002-0054
MS:MS02-012, CVE-2002-0055
MS:MS02-013, CVE-2002-0058 CVE-2002-0076
MS:MS02-014, CVE-2002-0070
MS:MS02-015, CVE-2002-0077 CVE-2002-0078
MS:MS02-016, CVE-2002-0051
MS:MS02-017, CVE-2002-0151
MS:MS02-018, CVE-2002-0071 CVE-2002-0072 CVE-2002-0073 CVE-2002-0074 CVE-2002-0075 CVE-2002-0079 CVE-2002-0147 CVE-2002-0148 CVE-2002-0149 CVE-2002-0150
MS:MS02-019, CVE-2002-0152 CVE-2002-0153
MS:MS02-020, CVE-2002-0154
MS:MS02-021, CVE-2002-1056
MS:MS02-022, CVE-2002-0155
MS:MS02-023, CVE-2002-0188 CVE-2002-0189 CVE-2002-0190 CVE-2002-0191 CVE-2002-0193 CVE-2002-1564
MS:MS02-024, CVE-2002-0367
MS:MS02-025, CVE-2002-0368
MS:MS02-026, CVE-2002-0369
MS:MS02-027, CVE-2002-0371
MS:MS02-028, CVE-2002-0364
MS:MS02-029, CVE-2002-0366
MS:MS02-030, CVE-2002-0186 CVE-2002-0187
MS:MS02-031, CVE-2002-0616 CVE-2002-0617 CVE-2002-0618 CVE-2002-0619
MS:MS02-032, CVE-2002-0372 CVE-2002-0373 CVE-2002-0615
MS:MS02-033, CVE-2002-0620 CVE-2002-0621 CVE-2002-0622 CVE-2002-0623
MS:MS02-034, CVE-2002-0624 CVE-2002-0641 CVE-2002-0642
MS:MS02-035, CVE-2002-0643
MS:MS02-036, CVE-2002-0697
MS:MS02-037, CVE-2002-0698
MS:MS02-038, CVE-2002-0644 CVE-2002-0645
MS:MS02-039, CVE-2002-0649 CVE-2002-0650
MS:MS02-040, CVE-2002-0695
MS:MS02-041, CVE-2002-0700 CVE-2002-0718 CVE-2002-0719
MS:MS02-042, CVE-2002-0720
MS:MS02-043, CVE-2002-0721
MS:MS02-044, CVE-2002-0727 CVE-2002-0860 CVE-2002-0861
MS:MS02-045, CVE-2002-0724
MS:MS02-046, CVE-2002-0726
MS:MS02-047, CVE-2002-0647 CVE-2002-0648 CVE-2002-0691 CVE-2002-0722 CVE-2002-0723
MS:MS02-048, CVE-2002-0699
MS:MS02-049, CVE-2002-0696
MS:MS02-050, CVE-2002-0862 CVE-2002-1183
MS:MS02-051, CVE-2002-0863 CVE-2002-0864
MS:MS02-052, CVE-2002-0865 CVE-2002-0866 CVE-2002-0867
MS:MS02-053, CVE-2002-0692
MS:MS02-054, CVE-2002-0370 CVE-2002-1139
MS:MS02-055, CVE-2002-0693 CVE-2002-0694
MS:MS02-056, CVE-2002-1123 CVE-2002-1137 CVE-2002-1138
MS:MS02-057, CVE-2002-0391 CVE-2002-1140 CVE-2002-1141
MS:MS02-058, CVE-2002-1179
MS:MS02-059, CVE-2002-1143
MS:MS02-060, CVE-2002-0974
MS:MS02-061, CVE-2002-1145
MS:MS02-062, CVE-2002-0869 CVE-2002-1180 CVE-2002-1181 CVE-2002-1182
MS:MS02-063, CVE-2002-1214
MS:MS02-064, CVE-2002-1184
MS:MS02-065, CVE-2002-1142
MS:MS02-066, CVE-2002-1185 CVE-2002-1186 CVE-2002-1187 CVE-2002-1188 CVE-2002-1217 CVE-2002-1254
MS:MS02-067, CVE-2002-1255
MS:MS02-068, CVE-2002-1262
MS:MS02-069, CVE-2002-1257 CVE-2002-1258 CVE-2002-1260 CVE-2002-1292 CVE-2002-1295 CVE-2002-1325
MS:MS02-070, CVE-2002-1256
MS:MS02-071, CVE-2002-1230
MS:MS02-072, CVE-2002-1327
MS:MS03-001, CVE-2003-0003
MS:MS03-002, CVE-2003-0002
MS:MS03-003, CVE-2003-0007
MS:MS03-004, CVE-2003-1326 CVE-2003-1328
MS:MS03-005, CVE-2003-0004
MS:MS03-006, CVE-2003-0009
MS:MS03-007, CVE-2003-0109
MS:MS03-008, CVE-2003-0010
MS:MS03-009, CVE-2003-0011
MS:MS03-010, CVE-2002-1561
MS:MS03-011, CVE-2003-0111
MS:MS03-012, CVE-2003-0110
MS:MS03-013, CVE-2003-0112
MS:MS03-014, CVE-2002-0980
MS:MS03-015, CVE-2003-0113 CVE-2003-0114 CVE-2003-0115 CVE-2003-0116 CVE-2003-0233
MS:MS03-016, CVE-2003-0117 CVE-2003-0118
MS:MS03-017, CVE-2003-0228
MS:MS03-018, CVE-2003-0223 CVE-2003-0224 CVE-2003-0225 CVE-2003-0226
MS:MS03-019, CVE-2003-0227
MS:MS03-020, CVE-2003-0309 CVE-2003-0344
MS:MS03-021, CVE-2003-0348
MS:MS03-022, CVE-2003-0349
MS:MS03-023, CVE-2003-0469
MS:MS03-024, CVE-2003-0345
MS:MS03-025, CVE-2003-0350
MS:MS03-026, CVE-2003-0352
MS:MS03-027, CVE-2003-0306
MS:MS03-028, CVE-2003-0526
